iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
110,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[28, 59], [20, 509]]",0.8717414109624967,0.7542293978800687,0.6415356834557723,0.6699647286763725,0.34800564924044447,0.036420604978448276,0.3115850442619962,1
722,ET,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 'log2'}",pca,True,15,[],616,"[[42, 45], [37, 492]]",0.8669289273537897,0.726600793874253,0.7055363529059422,0.709483275087869,0.42154203548180524,0.11265525105592182,0.3088867844258834,1
775,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,True,10,[],616,"[[34, 53], [24, 505]]",0.8750458956202467,0.7566731639160691,0.6727294188115499,0.6940647336825008,0.39417676339997765,0.08554031510320124,0.3086364482967764,1
235,ET,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'max_features': 'log2'}",pca,False,15,[],616,"[[41, 46], [37, 492]]",0.865302911093627,0.7232013104747697,0.6996539999647657,0.7042204610263898,0.41119416708795986,0.10272653692099515,0.3084676301669647,1
496,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",freq,True,N/A,[],616,"[[27, 60], [20, 509]]",0.8701153947023341,0.7431319362841102,0.6359801279002167,0.6641378107365151,0.3364727640569284,0.02891969397490657,0.3075530700820218,1
542,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",freq,False,N/A,[],616,"[[27, 60], [20, 509]]",0.8701153947023341,0.7431319362841102,0.6359801279002167,0.6641378107365151,0.3364727640569284,0.02891969397490657,0.3075530700820218,1
818,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",freq,True,N/A,[],616,"[[27, 60], [20, 509]]",0.8701153947023341,0.7431319362841102,0.6359801279002167,0.6641378107365151,0.3364727640569284,0.02891969397490657,0.3075530700820218,1
281,ET,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 0.5}",freq,True,N/A,['drugConcentration'],616,"[[44, 43], [46, 483]]",0.8555730396013639,0.7108296036277688,0.7107892465162166,0.7070502846098008,0.4157709832168748,0.10831520681842133,0.30745577639845345,1
489,SVM,"{'C': 10, 'kernel': 'poly', 'gamma': 'scale'}",freq,False,N/A,[],616,"[[26, 61], [21, 508]]",0.866876475216365,0.7311571780491926,0.629481176118246,0.6557111693686972,0.31988385467916897,0.013174520458648567,0.3067093342205204,1
469,ET,"{'n_estimators': 300, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,10,[],616,"[[42, 45], [38, 491]]",0.865302911093627,0.7220601660889278,0.704601941405493,0.7073210440529235,0.41714343078560356,0.1131393940395905,0.30400403674601306,1
544,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,15,[],616,"[[33, 54], [23, 506]]",0.8750327825858903,0.7733794511637034,0.6681082747564434,0.689288649577874,0.38651668012215695,0.08318880561121507,0.3033278745109419,1
540,ET,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,20,[],616,"[[33, 54], [23, 506]]",0.8750327825858903,0.7813846801346801,0.6677814773708226,0.690213691301015,0.38829450087342643,0.08649004469547442,0.30180445617795204,1
993,RF,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",pca,True,15,[],616,"[[45, 42], [28, 501]]",0.8864148964070286,0.7783394975338138,0.7307115550622765,0.7323549356153238,0.4724111768058304,0.17308198861603155,0.2993291881897988,1
